,0
0,0
1,3864
2,4100
3,4187
4,4241
5,4272
6,4291
7,4308
8,4324
9,4332
10,4339
11,4351
12,4358
13,4361
14,4370
15,4376
16,4379
17,4383
18,4386
19,4391
20,4394
21,4397
22,4400
23,4404
24,4405
25,4406
26,4408
27,4409
28,4412
29,4414
30,4419
31,4421
32,4421
33,4421
34,4421
35,4421
36,4422
37,4426
38,4427
39,4427
40,4427
41,4428
42,4428
43,4429
44,4430
45,4430
46,4432
47,4432
48,4432
49,4432
50,4432
51,4432
52,4432
53,4432
54,4432
55,4432
56,4432
57,4432
58,4432
59,4432
60,4433
61,4433
62,4433
63,4433
64,4434
65,4434
66,4434
67,4434
68,4434
69,4434
70,4434
71,4434
72,4434
73,4434
74,4434
75,4434
76,4434
77,4434
78,4434
79,4434
80,4434
81,4434
82,4434
83,4434
84,4434
85,4434
86,4434
87,4434
88,4434
89,4434
90,4434
91,4434
92,4434
93,4434
94,4434
95,4434
96,4434
97,4434
98,4434
99,4434
100,4434
101,4434
102,4434
103,4434
104,4434
105,4434
106,4434
107,4434
108,4434
109,4434
110,4434
111,4434
112,4434
113,4434
114,4434
115,4434
116,4434
117,4434
118,4434
119,4434
120,4434
121,4434
122,4434
123,4434
124,4434
125,4434
126,4434
127,4434
128,4434
129,4434
130,4434
131,4434
132,4434
133,4434
134,4434
135,4434
136,4434
137,4434
138,4434
139,4434
140,4434
141,4434
142,4434
143,4434
144,4434
145,4434
146,4434
147,4434
148,4434
149,4434
150,4434
151,4434
152,4434
153,4434
154,4434
155,4434
156,4434
157,4434
158,4434
159,4434
160,4434
161,4434
162,4434
163,4434
164,4434
165,4434
166,4434
167,4434
168,4434
169,4434
170,4434
171,4434
172,4434
173,4434
174,4434
175,4434
