,0
0,0
1,0
2,2676
3,2679
4,2679
5,2679
6,2679
7,2679
8,2679
9,2679
10,2679
11,2679
12,2679
13,2679
14,2679
15,2679
16,2679
17,2679
18,2679
19,2679
20,2679
21,2679
22,2679
23,2679
24,2679
25,2679
26,2679
27,2679
28,2679
29,2679
30,2679
31,2679
32,2679
33,2679
34,2679
35,2679
36,2679
37,2679
38,2679
39,2679
40,2679
41,2679
42,2679
43,2679
44,2679
45,2679
46,2679
47,2679
48,2679
49,2679
50,2679
51,2679
52,2679
53,2679
54,2679
55,2679
56,2679
57,2679
58,2679
59,2679
60,2679
61,2679
62,2679
63,2679
64,2679
65,2679
66,2679
67,2679
68,2679
69,2679
70,2679
71,2679
72,2679
73,2679
74,2679
75,2679
76,2679
77,3080
