,0
0,0
1,2097
2,2237
3,2302
4,2333
5,2348
6,2359
7,2372
8,2379
9,2391
10,2400
11,2405
12,2412
13,2415
14,2419
15,2428
16,2433
17,2441
18,2445
19,2452
20,2459
21,2463
22,2467
23,2472
24,2474
25,2479
26,2483
27,2488
28,2493
29,2497
30,2503
31,2509
32,2514
33,2522
34,2524
35,2525
36,2529
37,2531
38,2538
39,2543
40,2543
41,2548
42,2550
43,2550
44,2554
45,2556
46,2562
47,2562
48,2563
49,2566
50,2568
51,2571
52,2576
53,2577
54,2581
55,2586
56,2588
57,2592
58,2598
59,2601
60,2603
61,2604
62,2606
63,2611
64,2611
65,2613
66,2614
67,2615
68,2616
69,2616
70,2617
71,2617
72,2617
73,2617
74,2617
75,2617
76,2617
77,2617
