,0
0,0
1,3484
2,3562
3,3584
4,3591
5,3598
6,3601
7,3603
8,3605
9,3605
10,3605
11,3605
12,3605
13,3605
14,3605
15,3605
16,3605
17,3605
18,3605
19,3605
20,3605
21,3605
22,3605
23,3605
24,3605
25,3605
26,3605
27,3605
28,3605
29,3605
30,3605
31,3605
32,3605
33,3605
34,3605
35,3605
36,3605
37,3605
38,3605
39,3605
40,3605
41,3605
42,3605
43,3605
44,3605
45,3605
46,3605
47,3605
48,3605
49,3605
50,3605
51,3605
52,3605
53,3605
54,3605
55,3605
56,3605
57,3605
58,3605
59,3605
60,3605
61,3605
62,3605
63,3605
64,3605
65,3605
66,3605
67,3605
68,3605
69,3605
70,3605
71,3605
72,3605
73,3605
74,3605
75,3605
76,3605
77,3605
78,3605
79,3605
80,3605
81,3605
82,3605
83,3605
84,3605
85,3605
86,3605
87,3605
88,3605
89,3605
90,3605
91,3605
92,3605
93,3605
94,3605
95,3605
96,3605
97,3605
98,3605
99,3605
100,3605
101,3605
102,3605
103,3605
104,3605
105,3605
106,3605
107,3605
108,3605
109,3605
110,3605
111,3605
112,3605
113,3605
114,3605
115,3605
116,3605
117,3605
118,3605
119,3605
120,3605
121,3605
122,3605
123,3605
124,3605
125,3605
126,3605
127,3605
128,3605
129,3605
130,3605
131,3605
132,3605
133,3605
134,3605
135,3605
136,3605
137,3605
138,3605
139,3605
140,3605
141,3605
142,3605
143,3605
144,3605
145,3605
146,3605
147,3605
148,3605
149,3605
150,3605
151,3605
