,0
0,0
1,1276
2,1381
3,1464
4,1527
5,1584
6,1642
7,1691
8,1733
9,1763
10,1778
11,1790
12,1796
13,1800
14,1800
15,1800
16,1800
17,1800
18,1800
19,1800
20,1800
21,1800
22,1800
23,1800
24,1800
25,1800
26,1800
27,1800
28,1800
29,1800
30,1800
31,1800
32,1800
33,1800
34,1800
35,1800
36,1800
37,1800
38,1800
39,1800
40,1800
41,1800
42,1800
43,1800
44,1800
45,1800
46,1800
47,1800
48,1800
49,1800
50,1800
51,1800
52,1800
53,1800
54,1800
55,1800
56,1800
57,1800
58,1800
59,1800
60,1800
61,1800
62,1800
63,1800
64,1800
65,1800
66,1800
67,1800
68,1800
69,1800
70,1800
71,1800
72,1800
73,1800
74,1800
75,1800
76,1800
77,1800
78,1800
79,1800
80,1800
81,1800
82,1800
83,1800
84,1800
85,1800
86,1800
87,1800
88,1800
89,1800
90,1800
91,1800
92,1800
93,1800
94,1800
95,1800
96,1800
97,1800
98,1800
99,1800
100,1800
101,1800
102,1800
103,1800
104,1800
105,1800
106,1800
107,1800
108,1800
109,1800
110,1800
111,1800
112,1800
113,1800
114,1800
115,1800
116,1800
117,1800
118,1800
119,1800
120,1800
121,1800
122,1800
123,1800
124,1800
125,1800
126,1800
127,1800
128,1800
129,1800
130,1800
131,1800
132,1800
133,1800
134,1800
135,1800
136,1800
137,1800
138,1800
139,1800
140,1800
141,1800
142,1800
143,1800
144,1800
145,1800
146,1800
147,1800
148,1800
149,1800
150,1800
151,1800
