,0
0,0
1,2736
2,2950
3,3024
4,3060
5,3073
6,3076
7,3078
8,3079
9,3080
10,3080
11,3080
12,3080
13,3080
14,3080
15,3080
16,3080
17,3080
18,3080
19,3080
20,3080
21,3080
22,3080
23,3080
24,3080
25,3080
26,3080
27,3080
28,3080
29,3080
30,3080
31,3080
32,3080
33,3080
34,3080
35,3080
36,3080
37,3080
38,3080
39,3080
40,3080
41,3080
42,3080
43,3080
44,3080
45,3080
46,3080
47,3080
48,3080
49,3080
50,3080
51,3080
52,3080
53,3080
54,3080
55,3080
56,3080
57,3080
58,3080
59,3080
60,3080
61,3080
62,3080
63,3080
64,3080
65,3080
66,3080
67,3080
68,3080
69,3080
70,3080
71,3080
72,3080
73,3080
74,3080
75,3080
76,3080
77,3080
