,id,text,predictions,prompt,output,questions,question
0,0,what's the word for trees in norway,translate;spelling,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: translate Option 2: spelling Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: translate Option 2: spelling Question: Option 1: I'm sorry, I didn't understand what you said. Can you please translate it for me? Option 2: I'm sorry, I didn't understand what you said. Can you please check your spelling? **END** Set 4","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't understand what you said. Can you please translate it for me? Option 2: I'm sorry, I didn't understand what you said. Can you please check your spelling?","Option 1: I'm sorry, I didn't understand what you said. Can you please translate it for me? Option 2: I'm sorry, I didn't understand what you said. Can you please check your spelling?"
1,1,how would i say what is your name if i were french,change_language;translate;what_is_your_name,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: change language Option 2: translate Option 3: what is your name Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: change language Option 2: translate Option 3: what is your name Question: I understand you would like to change the language or translate something. Is it the language or translation you need help with? **END** Set 4: Option 1: cancel order Option 2: order cancelled","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand you would like to change the language or translate something. Is it the language or translation you need help with?",I understand you would like to change the language or translate something. Is it the language or translation you need help with?
2,2,can i move some money around,order_checks;transfer,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: order checks Option 2: transfer Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: order checks Option 2: transfer Question: I understand you are having issues with your order. Was it the order or the transfer that is causing the problem? **END** Set 4: Option 1: cancelled Option 2: postponed Question: I understand you have cancelled or postponed your,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your order. Was it the order or the transfer that is causing the problem? ; I understand you have cancelled or postponed your,I understand you are having issues with your order. Was it the order or the transfer that is causing the problem?
3,3,i need to make a transfer of my money,direct_deposit;order_checks;transfer,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: direct deposit Option 2: order checks Option 3: transfer Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: direct deposit Option 2: order checks Option 3: transfer Question: Set 4: Option 1: account number Option 2: routing number Option 3: account type Question: What is your account type? **END** Set 5: Option","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; Set 4: Option 1: account number Option 2: routing number Option 3: account type ; What is your account type?",Set 4: Option 1: account number Option 2: routing number Option 3: account type
4,4,add funds to the retirement account from the pnc account only,freeze_account;direct_deposit;order_checks;transfer,,,,
5,5,i would like to put 100 dollars from the checking into the savings account now,direct_deposit;order_checks;transfer,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: direct deposit Option 2: order checks Option 3: transfer Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: direct deposit Option 2: order checks Option 3: transfer Question: Set 4: Option 1: account number Option 2: routing number Option 3: account type Question: What is your account type? **END** Set 5: Option","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; Set 4: Option 1: account number Option 2: routing number Option 3: account type ; What is your account type?",Set 4: Option 1: account number Option 2: routing number Option 3: account type
6,6,what does peer-to-peer actually mean,no;definition,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: no Option 2: definition Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: no Option 2: definition Question: Option 1: I'm sorry, I didn't understand what you just said. Can you please repeat it? Option 2: I'm sorry, I didn't understand what you just said. Can you please provide a definition? **END** Option 1: I","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't understand what you just said. Can you please repeat it? Option 2: I'm sorry, I didn't understand what you just said. Can you please provide a definition?","Option 1: I'm sorry, I didn't understand what you just said. Can you please repeat it? Option 2: I'm sorry, I didn't understand what you just said. Can you please provide a definition?"
7,7,how to i change the policy on my insurace,freeze_account;improve_credit_score;insurance_change;credit_limit_change,,,,
8,8,i need to sign up for a new allstate plan,improve_credit_score;insurance_change;report_fraud;new_card;credit_limit_change,,,,
9,9,what is the procedure for signing up for a new allstate plan,improve_credit_score;insurance_change;new_card;pto_request;credit_limit_change,,,,
